# EUCKP.TXT
0xA7EE	0x00BE	# ¾
0xA7F0	0x2080	# ₀
0xA7F1	0x2081	# ₁
0xA7F2	0x2082	# ₂
0xA7F3	0x2083	# ₃
0xA7F4	0x2084	# ₄
0xA7F5	0x2085	# ₅
0xA7F6	0x2086	# ₆
0xA7F7	0x2087	# ₇
0xA7F8	0x2088	# ₈
0xA7F9	0x2089	# ₉
0xA7FA	0xF119	# 
0xA7FB	0xF11A	# 
0xA7FC	0xF11B	# 
0xA7FD	0xF11C	# 
0xA7FE	0xF11D	# 
0xA8A1	0x00B0	# °
0xA8A2	0x2032	# ′
0xA8A3	0x2033	# ″
0xA8A4	0x2103	# ℃
0xA8A5	0x2109	# ℉
0xA8A6	0x20AC	# €
0xA8A7	0xFFE6	# ￦
0xA8A8	0xFF04	# ＄
0xA8A9	0xFFE0	# ￠
0xA8AA	0xFFE1	# ￡
0xA8AB	0xFFE5	# ￥
0xA8AC	0xFF05	# ％
0xA8AD	0x2030	# ‰
0xA8AE	0x212B	# Å
0xA8AF	0x33C4	# ㏄
0xA8B0	0x33A1	# ㎡
0xA8B1	0x33A5	# ㎥
0xA8B2	0x339D	# ㎝
0xA8B3	0x33A0	# ㎠
0xA8B4	0x33A4	# ㎤
0xA8B5	0x339C	# ㎜
0xA8B6	0x339F	# ㎟
0xA8B7	0x33A3	# ㎣
0xA8B8	0x3377	# ㍷
0xA8B9	0x3378	# ㍸
0xA8BA	0x3379	# ㍹
0xA8BB	0x339E	# ㎞
0xA8BC	0x33A2	# ㎢
0xA8BD	0x33A6	# ㎦
0xA8BE	0x3399	# ㎙
0xA8BF	0x339A	# ㎚
0xA8C0	0x339B	# ㎛
0xA8C1	0x33A7	# ㎧
0xA8C2	0x33A8	# ㎨
0xA8C3	0x338D	# ㎍
0xA8C4	0x338E	# ㎎
0xA8C5	0x338F	# ㎏
0xA8C6	0x33B4	# ㎴
0xA8C7	0x33B5	# ㎵
0xA8C8	0x33B6	# ㎶
0xA8C9	0x33B7	# ㎷
0xA8CA	0x33B8	# ㎸
0xA8CB	0x33B9	# ㎹
0xA8CC	0x3380	# ㎀
0xA8CD	0x3381	# ㎁
0xA8CE	0x3382	# ㎂
0xA8CF	0x3383	# ㎃
0xA8D0	0x3384	# ㎄
0xA8D1	0x33BA	# ㎺
0xA8D2	0x33BB	# ㎻
0xA8D3	0x33BC	# ㎼
0xA8D4	0x33BD	# ㎽
0xA8D5	0x33BE	# ㎾
0xA8D6	0x33BF	# ㎿
0xA8D7	0x2126	# Ω
0xA8D8	0x33C0	# ㏀
0xA8D9	0x33C1	# ㏁
0xA8DA	0x3390	# ㎐
0xA8DB	0x3391	# ㎑
0xA8DC	0x3392	# ㎒
0xA8DD	0x3393	# ㎓
0xA8DE	0x3394	# ㎔
0xA8DF	0x33DE	# ㏞
0xA8E0	0x33DF	# ㏟
0xA8E1	0x33B0	# ㎰
0xA8E2	0x33B1	# ㎱
0xA8E3	0x33B2	# ㎲
0xA8E4	0x33B3	# ㎳
0xA8E5	0x338A	# ㎊
0xA8E6	0x338B	# ㎋
0xA8E7	0x338C	# ㎌
0xA8E8	0x33A9	# ㎩
0xA8E9	0x33AA	# ㎪
0xA8EA	0x33AB	# ㎫
0xA8EB	0x33AC	# ㎬
0xA8EC	0x2113	# ℓ
0xA8ED	0x3395	# ㎕
0xA8EE	0x3396	# ㎖
0xA8EF	0x3397	# ㎗
